run_number,subrun_index,specimen,wire,measurement_direction,location,measurement_position_mm,relative_y_mm,relative_z_mm,shift_direction,shift_mm,two_theta_min_deg,two_theta_max_deg,d_spacing_angstrom,d_spacing_uncertainty_angstrom
4646,1,B12W,Wire F,axial,Location 1,-170.0,-1.0,0.0,down,1.0,80.75,83.0,1.1664354031532043,0.0002930659216108951
4646,2,B12W,Wire F,axial,Location 1,-170.0,0.0,1.0,right,1.0,80.75,83.0,1.166070780936584,0.00028868095512384187
4646,3,B12W,Wire F,axial,Location 1,-170.0,0.0,0.0,reference,0.0,80.75,83.0,1.1663379903484308,0.00022192981412790983
4646,4,B12W,Wire F,axial,Location 1,-170.0,0.0,-1.0,left,1.0,80.75,83.0,1.1662831253981691,0.0002489789339650279
4646,5,B12W,Wire F,axial,Location 1,-170.0,1.0,0.0,up,1.0,80.75,83.0,1.1659281567798143,0.0002490778777640984
4646,6,B12W,Wire F,axial,Location 2,-150.0,-1.0,0.0,down,1.0,80.75,83.0,1.1661570030089845,0.00024155323547078923
4646,7,B12W,Wire F,axial,Location 2,-150.0,0.0,1.0,right,1.0,80.75,83.0,1.1660145098882628,0.0002641757171876621
4646,8,B12W,Wire F,axial,Location 2,-150.0,0.0,0.0,reference,0.0,80.75,83.0,1.1664133711592302,0.00024959022251143647
4646,9,B12W,Wire F,axial,Location 2,-150.0,0.0,-1.0,left,1.0,80.75,83.0,1.1666818389543796,0.0002713239029785637
4646,10,B12W,Wire F,axial,Location 2,-150.0,1.0,0.0,up,1.0,80.75,83.0,1.1662740753665355,0.0002735227517946249
4646,11,B12W,Wire F,axial,Location 3,0.0,-1.0,0.0,down,1.0,80.75,83.0,1.1665771563552259,0.00015310421749381708
4646,12,B12W,Wire F,axial,Location 3,0.0,0.0,1.0,right,1.0,80.75,83.0,1.1666603552710966,0.0001954410847396889
4646,13,B12W,Wire F,axial,Location 3,0.0,0.0,0.0,reference,0.0,80.75,83.0,1.1665187345088979,0.00020764846456287984
4646,14,B12W,Wire F,axial,Location 3,0.0,0.0,-1.0,left,1.0,80.75,83.0,1.1665879760995508,0.00019067594948077773
4646,15,B12W,Wire F,axial,Location 3,0.0,1.0,0.0,up,1.0,80.75,83.0,1.1667505459522192,0.0002177550560049758
4646,16,B12W,Wire F,axial,Location 4,15.68,-1.0,0.0,down,1.0,80.75,83.0,1.1668775669686358,0.00015204118423869616
4646,17,B12W,Wire F,axial,Location 4,15.68,0.0,1.0,right,1.0,80.75,83.0,1.1662097696485731,0.0001899595493923978
4646,18,B12W,Wire F,axial,Location 4,15.68,0.0,0.0,reference,0.0,80.75,83.0,1.166524824750567,0.00016484562218548014
4646,19,B12W,Wire F,axial,Location 4,15.68,0.0,-1.0,left,1.0,80.75,83.0,1.1672317266529326,0.0001445321613000814
4646,20,B12W,Wire F,axial,Location 4,15.68,1.0,0.0,up,1.0,80.75,83.0,1.1667474991982685,0.000178277921150184
