run_number,subrun_index,specimen,wire,measurement_direction,instrument_position_mm,measurement_position_mm,plot_order,d_spacing_angstrom,d_spacing_uncertainty_angstrom,d0_angstrom,d0_uncertainty_angstrom
4667,1,B12W,Wire D,axial,10.8,5.0,1,1.1667394013534258,0.00012524712203774638,1.1667952074639174,0.00015812295377113568
4667,2,B12W,Wire D,axial,-5.0,20.8,2,1.1671855744609219,0.00013304376942414788,1.1667952074639174,0.00015812295377113568
4667,3,B12W,Wire D,axial,-15.0,30.8,3,1.1658735849369986,0.00015411135401272367,1.1667952074639174,0.00015812295377113568
4667,4,B12W,Wire D,axial,-25.0,40.8,4,1.1665133655526532,0.00018117393170059774,1.1667952074639174,0.00015812295377113568
4667,5,B12W,Wire D,axial,-35.0,50.8,5,1.1667336287267922,0.00014516739218639285,1.1667952074639174,0.00015812295377113568
4667,6,B12W,Wire D,axial,-45.0,60.8,6,1.1661741374336516,0.00015768939560051564,1.1667952074639174,0.00015812295377113568
4667,7,B12W,Wire D,axial,-55.0,70.8,7,1.1664769866561986,0.00014839613544746338,1.1667952074639174,0.00015812295377113568
4667,8,B12W,Wire D,axial,-65.0,80.8,8,1.166405840485843,0.00018230674984652997,1.1667952074639174,0.00015812295377113568
4667,9,B12W,Wire D,axial,-75.0,90.8,9,1.1664750636296448,0.00018559973236193262,1.1667952074639174,0.00015812295377113568
4667,10,B12W,Wire D,axial,-85.0,100.8,10,1.1669746225547222,0.00016131939228930157,1.1667952074639174,0.00015812295377113568
4667,11,B12W,Wire D,axial,-95.0,110.8,11,1.1671356554816146,0.00023459128410780947,1.1667952074639174,0.00015812295377113568
4667,12,B12W,Wire D,axial,-105.0,120.8,12,1.1666888133692748,0.0001731355514005212,1.1667952074639174,0.00015812295377113568
4667,13,B12W,Wire D,axial,-115.0,130.8,13,1.1664184183875903,0.0001946866962003504,1.1667952074639174,0.00015812295377113568
4667,14,B12W,Wire D,axial,-125.0,140.8,14,1.1664887653842808,0.00021153658160378243,1.1667952074639174,0.00015812295377113568
4667,15,B12W,Wire D,axial,-135.0,150.8,15,1.166675345636774,0.00020225802535850555,1.1667952074639174,0.00015812295377113568
4392,1,B12W,Wire E,axial,0.0,16.0,1,1.17439539879184,0.00016681977314266517,1.1741743003877856,4.030250908299757e-05
4394,1,B12W,Wire E,axial,-5.0,21.0,2,1.1741537900364076,0.00016412279762053556,1.1741743003877856,4.030250908299757e-05
4392,2,B12W,Wire E,axial,-10.0,26.0,3,1.173878484381555,0.0001625786084050624,1.1741743003877856,4.030250908299757e-05
4392,3,B12W,Wire E,axial,-20.0,36.0,4,1.1738298186733305,0.00013931464054090358,1.1741743003877856,4.030250908299757e-05
4394,2,B12W,Wire E,axial,-23.3,39.3,5,1.1741470194436168,0.00012830913769497097,1.1741743003877856,4.030250908299757e-05
4394,3,B12W,Wire E,axial,-26.7,42.7,6,1.1741821787449749,0.00011099002266003213,1.1741743003877856,4.030250908299757e-05
4392,4,B12W,Wire E,axial,-30.0,46.0,7,1.1749498746438483,9.80792090942488e-05,1.1741743003877856,4.030250908299757e-05
4392,5,B12W,Wire E,axial,-40.0,56.0,8,1.1749041925643968,0.00010271502482088537,1.1741743003877856,4.030250908299757e-05
4392,6,B12W,Wire E,axial,-50.0,66.0,9,1.1749492208410135,0.00010462820673811323,1.1741743003877856,4.030250908299757e-05
4392,7,B12W,Wire E,axial,-60.0,76.0,10,1.1750359401254862,0.00011513198813263333,1.1741743003877856,4.030250908299757e-05
4392,8,B12W,Wire E,axial,-70.0,86.0,11,1.1749298523832843,0.00010854566908935385,1.1741743003877856,4.030250908299757e-05
4645,1,B12W,Wire F,axial,15.68,0.0,1,1.1667952074639174,0.00015812295377113568,1.1667952074639174,0.00015812295377113568
4645,2,B12W,Wire F,axial,0.0,15.68,2,1.1664746630002112,0.000214185138113482,1.1667952074639174,0.00015812295377113568
4645,3,B12W,Wire F,axial,-10.0,25.68,3,1.166479069944814,0.00020817469554432216,1.1667952074639174,0.00015812295377113568
4645,4,B12W,Wire F,axial,-20.0,35.68,4,1.1666706159989118,0.0001744429584648386,1.1667952074639174,0.00015812295377113568
4645,5,B12W,Wire F,axial,-30.0,45.68,5,1.1670114453206546,0.00014885364613113013,1.1667952074639174,0.00015812295377113568
4645,6,B12W,Wire F,axial,-40.0,55.68,6,1.1669574557348525,0.00015862613547487056,1.1667952074639174,0.00015812295377113568
4645,7,B12W,Wire F,axial,-50.0,65.68,7,1.1674181523309102,0.00014617403942620498,1.1667952074639174,0.00015812295377113568
4645,8,B12W,Wire F,axial,-60.0,75.68,8,1.1674725218390836,0.00013779042886248613,1.1667952074639174,0.00015812295377113568
4645,9,B12W,Wire F,axial,-70.0,85.68,9,1.1677577344975216,0.0001469649667864206,1.1667952074639174,0.00015812295377113568
