run_number,subrun_index,analysis_set,specimen,wire,measurement_direction,measurement_position,two_theta_min_deg,two_theta_max_deg,d_spacing_angstrom,d_spacing_uncertainty_angstrom
4384,1,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 1,80.0,82.5,1.1744208649811676,4.1250813383410585e-05
4384,2,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 2,80.0,82.5,1.1743507549836485,4.127377749131031e-05
4384,3,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 3,80.0,82.5,1.1743363916010958,4.161562003752413e-05
4384,4,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 4,80.0,82.5,1.174374831049348,4.115136679660491e-05
4384,5,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 5,80.0,82.5,1.1743372076895,4.009829080591689e-05
4384,6,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 6,80.0,82.5,1.1742709463625158,4.6566658014045827e-05
4384,7,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 7,80.0,82.5,1.174345042217118,4.67122998791731e-05
4384,8,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 8,80.0,82.5,1.1742819620072444,4.422786016875516e-05
4384,9,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 9,80.0,82.5,1.1742972211821527,4.319075390144255e-05
4384,10,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 10,80.0,82.5,1.1742194621716582,4.1624624158296275e-05
4384,11,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 11,80.0,82.5,1.173979175526878,3.566092547023954e-05
4384,12,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 12,80.0,82.5,1.1739449297322244,3.5039897847469286e-05
4384,13,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 13,80.0,82.5,1.173845958447024,3.5182703064974054e-05
4384,14,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 14,80.0,82.5,1.1738497896946185,3.5468694935234154e-05
4384,15,axial-residual-strain,A36 Fe reference rod,,reference,orientation point 15,80.0,82.5,1.1737599681705888,3.5473350290566746e-05
