reflection,chi_deg,phi_deg,intensity
{211},-90.0,0.0,64.101074
{211},-90.0,10.0,51.609104
{211},-90.0,20.0,71.7763
{211},-90.0,30.0,55.230072
{211},-90.0,40.0,61.5062
{211},-90.0,50.0,64.71815
{211},-90.0,60.0,63.092888
{211},-90.0,70.0,70.674416
{211},-90.0,80.0,70.79488
{211},-90.0,90.0,71.99554
{211},-90.0,100.0,70.88447
{211},-90.0,110.0,72.10573
{211},-90.0,120.0,67.52651
{211},-90.0,130.0,58.57995
{211},-90.0,140.0,58.67778
{211},-90.0,150.0,55.946785
{211},-90.0,160.0,54.55743
{211},-90.0,170.0,59.427658
{211},-90.0,180.0,61.452618
{211},-90.0,190.0,60.383415
{211},-90.0,200.0,50.221043
{211},-90.0,210.0,57.20527
{211},-90.0,220.0,63.84662
{211},-90.0,230.0,70.4571
{211},-90.0,240.0,63.803543
{211},-90.0,250.0,57.707012
{211},-90.0,260.0,74.301384
{211},-90.0,270.0,57.269012
{211},-90.0,280.0,63.46683
{211},-90.0,290.0,43.07433
{211},-90.0,300.0,51.751793
{211},-90.0,310.0,58.119183
{211},-90.0,320.0,61.29755
{211},-90.0,330.0,61.27345
{211},-90.0,340.0,56.796543
{211},-90.0,350.0,51.701996
{211},-80.0,350.0,52.1169
{211},-80.0,340.0,38.52452
{211},-80.0,330.0,48.14243
{211},-80.0,320.0,45.386032
{211},-80.0,310.0,37.051445
{211},-80.0,300.0,45.103485
{211},-80.0,290.0,42.6211
{211},-80.0,280.0,46.74088
{211},-80.0,270.0,41.97802
{211},-80.0,260.0,52.018787
{211},-80.0,250.0,37.723812
{211},-80.0,240.0,46.09044
{211},-80.0,230.0,42.164013
{211},-80.0,220.0,55.591564
{211},-80.0,210.0,48.73279
{211},-80.0,200.0,44.26251
{211},-80.0,190.0,63.07879
{211},-80.0,180.0,57.310253
{211},-80.0,170.0,49.155594
{211},-80.0,160.0,62.57138
{211},-80.0,150.0,58.850197
{211},-80.0,140.0,60.005
{211},-80.0,130.0,59.786533
{211},-80.0,120.0,55.90861
{211},-80.0,110.0,56.015686
{211},-80.0,100.0,52.588463
{211},-80.0,90.0,56.056374
{211},-80.0,80.0,51.712883
{211},-80.0,70.0,57.116142
{211},-80.0,60.0,54.08577
{211},-80.0,50.0,37.42776
{211},-80.0,40.0,49.268402
