run_number,subrun_index,specimen,wire,measurement_direction,instrument_position_mm,measurement_position_mm,plot_order,d_spacing_angstrom,d_spacing_uncertainty_angstrom,d0_angstrom,d0_uncertainty_angstrom
4633,1,B12W,Wire F,axial,15.68,0,1,1.1668749203092754,8.61051245548409e-05,1.1668749203092754,8.61051245548409e-05
4633,2,B12W,Wire F,axial,0.0,16,2,1.167613417046327,0.00029686061027563886,1.1668749203092754,8.61051245548409e-05
4633,3,B12W,Wire F,axial,-10.0,26,3,1.1668309721384666,0.0003465273057447901,1.1668749203092754,8.61051245548409e-05
4633,4,B12W,Wire F,axial,-20.0,36,4,1.1669925923068607,0.0003374394705470289,1.1668749203092754,8.61051245548409e-05
4633,5,B12W,Wire F,axial,-30.0,46,5,1.1675487472479287,0.000284103162924387,1.1668749203092754,8.61051245548409e-05
4633,6,B12W,Wire F,axial,-40.0,56,6,1.1673258124081145,0.0002665060610258657,1.1668749203092754,8.61051245548409e-05
4633,7,B12W,Wire F,axial,-50.0,66,7,1.1675709989736387,0.00028815746886227234,1.1668749203092754,8.61051245548409e-05
4633,8,B12W,Wire F,axial,-60.0,76,8,1.1677828906100287,0.0002669297559130137,1.1668749203092754,8.61051245548409e-05
4633,9,B12W,Wire F,axial,-70.0,86,9,1.1676219333066509,0.00026574095531473806,1.1668749203092754,8.61051245548409e-05
4633,10,B12W,Wire F,axial,-80.0,96,10,1.1677470456101338,0.0002715157640953978,1.1668749203092754,8.61051245548409e-05
4633,11,B12W,Wire F,axial,-90.0,106,11,1.1677292849711929,0.0003200240238858774,1.1668749203092754,8.61051245548409e-05
4633,12,B12W,Wire F,axial,-100.0,116,12,1.1671736158424015,0.0003346182407298401,1.1668749203092754,8.61051245548409e-05
4633,13,B12W,Wire F,axial,-110.0,126,13,1.1676222546783102,0.0002538976726853182,1.1668749203092754,8.61051245548409e-05
4633,14,B12W,Wire F,axial,-120.0,136,14,1.166812367715994,0.00034963256827180933,1.1668749203092754,8.61051245548409e-05
4633,15,B12W,Wire F,axial,-130.0,146,15,1.1664831564253109,0.00034239893466061295,1.1668749203092754,8.61051245548409e-05
4633,16,B12W,Wire F,axial,-140.0,156,16,1.166658110769998,0.0004238672973862215,1.1668749203092754,8.61051245548409e-05
4633,17,B12W,Wire F,axial,-150.0,166,17,1.166786547413506,0.00042422012967775557,1.1668749203092754,8.61051245548409e-05
4633,18,B12W,Wire F,axial,-160.0,176,18,1.166732345931549,0.0004363737652890216,1.1668749203092754,8.61051245548409e-05
4633,19,B12W,Wire F,axial,-170.0,186,19,1.1676354311258001,0.00044958694781520385,1.1668749203092754,8.61051245548409e-05
4635,1,B12W,Wire F,radial,15.68,0,1,1.1666624394613312,3.0461720424864708e-05,1.1666624394613312,3.0461720424864708e-05
4635,2,B12W,Wire F,radial,0.0,16,2,1.1666019219552626,6.717629304401764e-05,1.1666624394613312,3.0461720424864708e-05
4635,3,B12W,Wire F,radial,-10.0,26,3,1.1666453654355664,6.446616397713171e-05,1.1666624394613312,3.0461720424864708e-05
4635,4,B12W,Wire F,radial,-20.0,36,4,1.1666364679764358,6.74259759732451e-05,1.1666624394613312,3.0461720424864708e-05
4635,5,B12W,Wire F,radial,-30.0,46,5,1.1665101602380705,6.98169223468692e-05,1.1666624394613312,3.0461720424864708e-05
4635,6,B12W,Wire F,radial,-40.0,56,6,1.166428192556328,7.637390654630872e-05,1.1666624394613312,3.0461720424864708e-05
4635,7,B12W,Wire F,radial,-50.0,66,7,1.1664983007849292,7.833111339835943e-05,1.1666624394613312,3.0461720424864708e-05
4635,8,B12W,Wire F,radial,-60.0,76,8,1.1665136860854453,7.698314723075675e-05,1.1666624394613312,3.0461720424864708e-05
4635,9,B12W,Wire F,radial,-70.0,86,9,1.1664297949005844,7.894154517711755e-05,1.1666624394613312,3.0461720424864708e-05
4635,10,B12W,Wire F,radial,-80.0,96,10,1.1666908976994468,8.408683912471398e-05,1.1666624394613312,3.0461720424864708e-05
4635,11,B12W,Wire F,radial,-90.0,106,11,1.166817820651798,8.764379879684544e-05,1.1666624394613312,3.0461720424864708e-05
4635,12,B12W,Wire F,radial,-100.0,116,12,1.1669361987200408,9.562226796704118e-05,1.1666624394613312,3.0461720424864708e-05
4635,13,B12W,Wire F,radial,-110.0,126,13,1.1670767554312957,8.910113537655613e-05,1.1666624394613312,3.0461720424864708e-05
4635,14,B12W,Wire F,radial,-120.0,136,14,1.1671449646848886,9.295483592110318e-05,1.1666624394613312,3.0461720424864708e-05
4635,15,B12W,Wire F,radial,-130.0,146,15,1.1671901493235988,0.00010277398240642788,1.1666624394613312,3.0461720424864708e-05
4635,16,B12W,Wire F,radial,-140.0,156,16,1.1671367789953073,9.991130687986764e-05,1.1666624394613312,3.0461720424864708e-05
4635,17,B12W,Wire F,radial,-150.0,166,17,1.1671496193631379,0.00010375119765267534,1.1666624394613312,3.0461720424864708e-05
